role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
preferred name,D-Limonene,Limonene,R-(+)-Pulegone,alpha-Isomethylionone,1-trans-delta-9-Tetrahydrocannabinol,Methacrylonitrile,Methacrylamide,Trinexapac-ethyl,4-Chloro-3-methylphenol,Prohexadione-calcium,Isophorone,Diethyl phthalate,Cyprodinil,Tetramethrin,Captafol,o-Cresol
dsstox_sid,DTXSID1020778,DTXSID2029612,DTXSID2025975,DTXSID7027047,DTXSID6021327,DTXSID1024176,DTXSID8029600,DTXSID9032535,DTXSID4021717,DTXSID9034496,DTXSID8020759,DTXSID7021780,DTXSID1032359,DTXSID6032649,DTXSID4020242,DTXSID8021808
molecular weight,136.238,136.238,152.237,206.329,314.469,67.091,85.106,252.266,142.580,250.263,138.210,222.240,225.295,331.412,349.050,108.140
similarity,1.00001,1,0.16666666666666666,0.15789473684210525,0.15,0.14705882352941177,0.14285714285714285,0.14035087719298245,0.13333333333333333,0.1320754716981132,0.13043478260869565,0.125,0.125,0.125,0.12280701754385964,0.12195121951219512
CHR:[other],GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.57mg/kg/day,no_data,no_data,no_data,no_data
CHR:adrenal gland,GenRA TN Act=0 (0.376) AUC=0 p=0.985,no_data,no_effect,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_effect,250mg/kg/day,no_effect,no_effect,75mg/kg/day,no_effect,no_data
CHR:alanine aminotransferase (alt/sgpt),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.57mg/kg/day,no_data,no_data,40mg/kg/day,no_data
CHR:albumin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,40mg/kg/day,no_data
CHR:albumin-globulin ratio,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,54.8mg/kg/day,no_data
CHR:appearance and color,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:aspartate aminotransferase (ast/sgot),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.57mg/kg/day,no_data,no_data,40mg/kg/day,no_data
CHR:bilirubin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,40mg/kg/day,no_data
CHR:blood,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,250mg/kg/day,no_data,no_data,no_data,no_data,no_data
CHR:body weight,GenRA TP Act=1 (0.861) AUC=0 p=0.91,no_data,75mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,968mg/kg/day,500mg/kg/day,0.369mg/kg/day,446.37mg/kg/day,300mg/kg/day,40mg/kg/day,no_data
CHR:bone,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:bone marrow,GenRA Neg Act=0 (0.209) AUC=0 p=0.805,no_data,75mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:brain,GenRA TN Act=0 (0.139) AUC=0 p=0.86,no_data,no_effect,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:calcium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,2mg/kg/day,no_data
CHR:cholesterol,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1.425mg/kg/day,no_data,no_data,no_data,no_data
CHR:clinical signs,GenRA FP Act=1 (0.524) AUC=0 p=0.995,no_data,75mg/kg/day,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_effect,0.123mg/kg/day,no_effect,no_effect,40mg/kg/day,no_data
CHR:clitoral gland,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:creatinine,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,40mg/kg/day,no_data
CHR:ear,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:epididymis,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:erythrocyte (rbc) count differential,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data
CHR:esophagus,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:eye,GenRA TN Act=0 (0.155) AUC=0 p=0.885,no_data,150mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:follicle stimulating hormone (fsh),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:food consumption,GenRA Neg Act=0 (0.408) AUC=0 p=0.91,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,2847mg/kg/day,no_data,no_effect,446.37mg/kg/day,no_effect,no_effect,no_data
CHR:full gross necropsy,GenRA TN Act=0 (0.114) AUC=0 p=0.915,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,54.8mg/kg/day,no_data
CHR:gallbladder,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:globulins,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,54.8mg/kg/day,no_data
CHR:glucose,GenRA Neg Act=0 (0.195) AUC=0 p=0.82,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,2mg/kg/day,no_data
CHR:harderian gland,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:heart,GenRA TN Act=0 (0.155) AUC=0 p=0.9,no_data,150mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:intestine large,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:intestine small,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:kidney,GenRA TP Act=1 (0.745) AUC=0 p=0.955,no_data,37.5mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,200mg/kg/day,250mg/kg/day,650mg/kg/day,87.1mg/kg/day,no_effect,54.8mg/kg/day,no_data
CHR:lactic acid dehydrogenase (ldh),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.57mg/kg/day,no_data,no_data,250mg/kg/day,no_data
CHR:larynx,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:leukocyte (wbc) count differential,GenRA Pos Act=1 (0.532) AUC=0 p=0.84,no_data,no_data,no_data,25mg/kg/day,no_data,no_data,no_data,no_data,469mg/kg/day,no_data,no_data,no_effect,no_data,no_effect,no_data
CHR:liver,GenRA TP Act=1 (0.877) AUC=0 p=0.895,no_data,18.75mg/kg/day,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_effect,250mg/kg/day,0.57mg/kg/day,35.6mg/kg/day,75mg/kg/day,2.8mg/kg/day,no_data
CHR:lung,GenRA TN Act=0 (0.255) AUC=0 p=0.975,no_data,no_effect,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,41.2mg/kg/day,no_effect,no_effect,no_data
CHR:luteinizing hormone (lh),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:lymph node,GenRA Neg Act=0 (0.209) AUC=0 p=0.865,no_data,150mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:lymphocyte,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:mammary gland,GenRA TN Act=0 (0.114) AUC=0 p=0.875,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,54.8mg/kg/day,no_data
CHR:mortality,GenRA TP Act=1 (0.508) AUC=0.05 p=0.985,no_data,75mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,500mg/kg/day,0.369mg/kg/day,73.6mg/kg/day,no_effect,no_effect,no_data
CHR:nerve,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:nose,GenRA TN Act=0 (0.155) AUC=0 p=0.875,no_data,37.5mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:occult blood,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:ovary,GenRA TN Act=0 (0.271) AUC=0 p=0.975,no_data,75mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,100mg/kg/day,no_effect,no_data
CHR:pancreas,GenRA TN Act=0 (0.392) AUC=0 p=0.995,no_data,75mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,500mg/kg/day,no_effect,212.4mg/kg/day,no_effect,no_effect,no_data
CHR:parathyroid gland,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:ph,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:pharynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:phosphorus,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,250mg/kg/day,no_data
