role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
preferred name,Ozone,Sodium nitrite,Barium metaborate,Trisodium arsenate,Silver nitrate,Monosodium methanearsonate,Potassium dichromate,Trichloronitromethane,Sodium dichromate dihydrate,Sodium fluoroacetate,Sodium trichloroacetate,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, sodium salt (1:2)",Tetrakis(hydroxymethyl)phosphonium sulfate,Silica,Lithium hypochlorite,"2-(Hydroxymethyl)-2-nitro-1,3-propanediol"
dsstox_sid,DTXSID0021098,DTXSID0020941,DTXSID1034347,DTXSID9039367,DTXSID3032042,DTXSID2025686,DTXSID5025948,DTXSID0020315,DTXSID6032061,DTXSID8024311,DTXSID6034924,DTXSID2057861,DTXSID0021331,DTXSID1029677,DTXSID1034688,DTXSID8027034
molecular weight,47.997,68.995,222.940,207.887,169.872,161.951,294.182,164.370,297.995,100.024,185.360,194.050,406.280,60.083,58.390,151.118
similarity,1.00001,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.125,0.125,0.125,0.11764705882352941,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10526315789473684
CHR:[other],GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:adrenal gland,GenRA Neg Act=0 (0.282) AUC=0 p=0.96,no_effect,no_data,no_effect,no_data,32.9mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data
CHR:alanine aminotransferase (alt/sgpt),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,2.2mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:albumin,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,93.1mg/kg/day,no_data,5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:appearance and color,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:bile duct,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:body weight,GenRA Pos Act=1 (0.872) AUC=0 p=0.84,100mg/kg/day,no_data,1.6mg/kg/day,no_data,8mg/kg/day,no_data,0.025mg/kg/day,9mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:bone,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:bone marrow,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:brain,GenRA Neg Act=0 (0.154) AUC=0 p=0.84,no_effect,no_data,no_effect,no_data,2mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:calcium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,93.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:cholesterol,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,93.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:clinical signs,GenRA Neg Act=0 (0.436) AUC=0 p=0.95,no_effect,no_data,no_effect,no_data,8mg/kg/day,no_data,1mg/kg/day,no_effect,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data
CHR:clitoral gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:ear,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:epididymis,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:erythrocyte (rbc) count differential,GenRA Pos Act=1 (0.535) AUC=0 p=0.845,100mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_effect,6mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:esophagus,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:estrous cycle,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,2mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:eye,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:food consumption,GenRA Neg Act=0 (0.417) AUC=0 p=0.905,100mg/kg/day,no_data,no_effect,no_data,8mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:full gross necropsy,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:gallbladder,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:globulins,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:glucose,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:harderian gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:heart,GenRA Neg Act=0 (0.154) AUC=0 p=0.81,no_effect,no_data,no_effect,no_data,35mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:hematocrit (hct),GenRA Pos Act=1 (1) AUC=0 p=1,100mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,6mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:hemoglobin (hgb),GenRA Pos Act=1 (1) AUC=0 p=1,100mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,2.2mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:intestine large,GenRA Neg Act=0 (0.154) AUC=0 p=0.865,no_effect,no_data,no_effect,no_data,46.4mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:intestine small,GenRA Neg Act=0 (0.144) AUC=0 p=0.855,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,1.1mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:kidney,GenRA Neg Act=0 (0.154) AUC=0 p=0.8,no_effect,no_data,no_effect,no_data,1.8mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:larynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:leukocyte (wbc) count differential,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:liver,GenRA Pos Act=1 (0.58) AUC=0 p=0.975,no_effect,no_data,no_effect,no_data,2mg/kg/day,no_data,1mg/kg/day,0.7mg/kg/day,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data
CHR:lung,GenRA Neg Act=0 (0.154) AUC=0 p=0.825,no_effect,no_data,no_effect,no_data,no_effect,no_data,0.075mg/kg/day,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:lymph node,GenRA Neg Act=0 (0.406) AUC=0 p=0.875,100mg/kg/day,no_data,no_effect,no_data,no_effect,no_data,no_effect,1.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:mammary gland,GenRA Neg Act=0 (0.154) AUC=0 p=0.825,no_effect,no_data,no_effect,no_data,no_effect,no_data,10mg/kg/day,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,100mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,2.2mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:mean corpuscular hemoglobin (mch),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,2.2mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:mean corpuscular hemoglobin concentration (mchc),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,6mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:mortality,GenRA Pos Act=1 (0.646) AUC=0 p=0.935,no_effect,no_data,12.5mg/kg/day,no_data,3.2mg/kg/day,no_data,0.025mg/kg/day,no_effect,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data
CHR:nerve,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:nose,GenRA Neg Act=0 (0.154) AUC=0 p=0.79,no_effect,no_data,no_effect,no_data,no_effect,no_data,0.05mg/kg/day,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:nucleated red blood cell (nrbc),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,17mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:occult blood,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:oral mucosa,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,7mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:ovary,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:pancreas,GenRA Neg Act=0 (0.144) AUC=0 p=0.855,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,1.1mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:parathyroid gland,GenRA Neg Act=0 (0.154) AUC=0 p=0.845,no_effect,no_data,no_effect,no_data,27.2mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:peritoneum,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,93.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:ph,GenRA Neg Act=0 (0.177) AUC=0 p=0.81,no_effect,no_data,no_effect,no_data,93.1mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
